infinitive,accented_infinitive,stem,suffix,aspect,partners,conjugation_type,ru_verb_presfut_sg1,ru_verb_presfut_sg2,ru_verb_presfut_sg3,ru_verb_presfut_pl1,ru_verb_presfut_pl2,ru_verb_presfut_pl3,ru_verb_imperative_sg,ru_verb_imperative_pl,ru_verb_past_m,ru_verb_past_f,ru_verb_past_n,ru_verb_past_pl
собрать,собра'ть,собр,ать,perfective,собирать,е-conj,*соберу',*соберёшь,*соберёт,*соберём,*соберёте,*соберу'т,*собери',*собери'те,собра'л,~собрала',собра'ло,собра'ли
советовать,сове'товать,советов,ать,imperfective,посоветовать,е-conj,сове'тую,сове'туешь,сове'тует,сове'туем,сове'туете,сове'туют,сове'туй,сове'туйте,сове'товал,сове'товала,сове'товало,сове'товали
создать,созда'ть,созд,ать,perfective,создавать;созидать,unknown,*созда'м,*созда'шь,*созда'ст,*создади'м,*создади'те,*создаду'т,*созда'й,*созда'йте,~со'здал,~создала',созда'ло,~со'здали
солить,соли'ть,сол,ить,imperfective,посолить;насолить,и-conj,солю',~со'лишь,~со'лит,~со'лим,~со'лите,~со'лят,соли',соли'те,соли'л,соли'ла,соли'ло,соли'ли
слить,сли'ть,сл,ить,perfective,сливать,*е-conj,*солью',*сольёшь,*сольёт,*сольём,*сольёте,*солью'т,*сле'й,*сле'йте,сли'л,~слила',сли'ло,сли'ли
спать,спа'ть,сп,ать,imperfective,поспать,*и-conj,сплю',спи'шь,спи'т,спи'м,спи'те,спя'т,спи',спи'те,спа'л,~спала',спа'ло,спа'ли
ссориться,ссо'риться,ссор,иться,imperfective,"поссориться,рассориться",и-conj,ссо'рюсь,ссо'ришься,ссо'рится,ссо'римся,ссо'ритесь,ссо'рятся,ссо'рься,ссо'рьтесь,ссо'рился,ссо'рилась,ссо'рилось,ссо'рились
ставить,ста'вить,став,ить,imperfective,поставить,и-conj,ста'влю,ста'вишь,ста'вит,ста'вим,ста'вите,ста'вят,ста'вь,ста'вьте,ста'вил,ста'вила,ста'вило,ста'вили
стоить,сто'ить,сто,ить,imperfective,-,и-conj,сто'ю,сто'ишь,сто'ит,сто'им,сто'ите,сто'ят,сто'й,сто'йте,сто'ил,сто'ила,сто'ило,сто'или
стоять,стоя'ть,сто,ять,imperfective,,*и-conj,стою',стои'шь,стои'т,стои'м,стои'те,стоя'т,~сто'й,~сто'йте,стоя'л,стоя'ла,стоя'ло,стоя'ли
судить,суди'ть,суд,ить,imperfective,посудить,и-conj,*сужу',~су'дишь,~су'дит,~су'дим,~су'дите,~су'дят,суди',суди'те,суди'л,суди'ла,суди'ло,суди'ли
сушить,суши'ть,суш,ить,imperfective,высушить,и-conj,сушу',~су'шишь,~су'шит,~су'шим,~су'шите,~су'шат,суши',суши'те,суши'л,суши'ла,суши'ло,суши'ли
существовать,существова'ть,существов,ать,imperfective,просуществовать,е-conj,существу'ю,существу'ешь,существу'ет,существу'ем,существу'ете,существу'ют,существу'й,существу'йте,существова'л,существова'ла,существова'ло,существова'ли
считать,счита'ть,счит,ать,imperfective,честь;счесть;посчитать,е-conj,счита'ю,счита'ешь,счита'ет,счита'ем,счита'ете,счита'ют,счита'й,счита'йте,счита'л,счита'ла,счита'ло,счита'ли
танцевать,танцева'ть,танцев,ать,imperfective,потанцевать,е-conj,танцу'ю,танцу'ешь,танцу'ет,танцу'ем,танцу'ете,танцу'ют,танцу'й,танцу'йте,танцева'л,танцева'ла,танцева'ло,танцева'ли
тренироваться,тренирова'ться,трениров,аться,imperfective,натренироваться,е-conj,~трениру'юсь,~трениру'ешься,*трениру'ется,*трениру'емся,~трениру'етесь,*трениру'ются,*трениру'йся,~трениру'йтесь,тренирова'лся,тренирова'лась,тренирова'лось,тренирова'лись
убежать,убежа'ть,убеж,ать,perfective,убегать,*и-conj,*убегу',убежи'шь,убежи'т,убежи'м,убежи'те,*убегу'т,*убеги',*убеги'те,убежа'л,убежа'ла,убежа'ло,убежа'ли
уволить,уво'лить,увол,ить,perfective,увольнять,и-conj,уво'лю,уво'лишь,уво'лит,уво'лим,уво'лите,уво'лят,уво'ль,уво'льте,уво'лил,уво'лила,уво'лило,уво'лили
